BBCpolarity,BBCsubjectivity
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.25,0.25
0.0,0.0
-0.5,0.4833333333333333
0.0,0.0
0.0,0.0
0.2,0.2
0.22727272727272727,0.5454545454545454
0.0,0.0
0.25,0.3333333333333333
-0.2625,0.5375
0.13636363636363635,0.45454545454545453
0.0,0.0
0.525,0.75
0.0,0.0
0.0,0.0
-0.25,1.0
0.31111111111111106,0.5222222222222221
0.0,0.0
0.1111111111111111,0.25555555555555554
0.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.1,0.4
0.0,0.0
-0.04375,0.35
0.0,0.0
0.13636363636363635,0.45454545454545453
0.11666666666666665,0.5833333333333333
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
